,ISIN,Name,Ticker,Tick table ID -  UTP system,Tick table ID -  Regulation,"Change tick table from April 20, 2023"
,AT0000827209,WARIMPEX,WXF,8,1,Yes
,AT0000A21KS2,IIAAV,IIA,10,3,Yes
,AU0000198939,GREENX,GRX,10,3,No
,BG1100018057,ICPD,ICD,8,1,Yes
,BG1100114062,EUROHOLD,EHG,8,1,Yes
,BG11SOSOBT18,SOPHARMA,SPH,9,2,Yes
,CY0101062111,AGROTON,AGT,9,2,Yes
,CY0101452114,AGROLIGA,AGL,9,2,No
,CY0102492119,KDMSHIPNG,KDM,13,6,No
,CY0103021610,CEREALPLT,CRP,8,1,No
,CY1000031710,ASBIS,ASB,11,4,No
,CZ0005112300,CEZ,CEZ,11,4,No
,DE0005190003,BMW,BMW,13,6,No
,DE0007100000,MERCEDES,MBG,13,6,No
,DE0007236101,SIEMENS,SIE,13,6,No
,DE0007664039,VOLKSWAGEN,VOW,13,6,No
,DE0008404005,ALLIANZ,ALV,13,6,No
,DE000A2E3772,SLEEPZAG,SLZ,8,1,No
,EE3100001751,SILVANO,SFG,10,3,Yes
,EE3100063686,ATLANTIS,ATS,9,2,No
,EE3100065392,IFCAPITAL,IFC,9,2,No
,EE3100099391,IFSA,IFR,9,2,No
,EE3100100835,FON,FON,8,1,No
,EE3100126368,CITYSERV,CTS,8,1,Yes
,EE3100142985,RESBUD,RES,9,2,No
,ES0105375002,AMREST,EAT,10,3,No
,ES0113900J37,SANTANDER,SAN,13,6,No
,ES0148396007,INDITEX,ITX,13,6,No
,FR0000060873,MBWS,MBW,9,2,No
,GB00B42V2T10,AERFINANC,AER,8,1,No
,HU0000089198,ESTAR,EST,8,1,Yes
,HU0000153937,MOL,MOL,11,4,No
,IT0005239360,UNICREDIT,UCG,13,6,No
,JE00BNNMKT29,SERINUS,SEN,10,3,Yes
,LT0000128621,INTERAOLT,IRL,9,2,Yes
,LT0000131872,NOVATURAS,NTU,9,2,Yes
,LU0122624777,ORCOGROUP,OPG,8,1,Yes
,LU0252633754,ETFDAX,,13,6,No
,LU0327357389,KERNEL,KER,11,4,No
,LU0496786574,ETFSP500,,13,6,No
,LU0564351582,SADOVAYA,SGR,8,1,No
,LU0607203980,IMCOMPANY,IMC,9,2,No
,LU0611262873,KSGAGRO,KSG,9,2,Yes
,LU0646112838,COALENERG,CLE,10,3,No
,LU2237380790,ALLEGRO,ALE,13,6,No
,NL0000686509,ASTARTA,AST,10,3,No
,NL0009508712,MILKILAND,MLK,10,3,No
,NL0009805613,OVOSTAR,OVO,8,1,No
,NL0010391108,PHOTON,PEN,10,3,Yes
,NL0011882741,PLAZACNTR,PLZ,9,2,Yes
,NL0015000AU7,PEPCO,PCO,11,4,No
